Taxa	Lipka_aTgT
CML418	NaN
CML419	NaN
CML420	NaN
CML421	NaN
CML422	NaN
CML423	NaN
CML424	NaN
CML425	NaN
CML426	NaN
CML427	NaN
CML429	NaN
CML430	NaN
CML431	NaN
CML433	NaN
CML434	NaN
CML436	NaN
CML438	NaN
CML440	NaN
CML441	NaN
CML448	NaN
CML449	NaN
CML45	NaN
CML450	NaN
CML451	NaN
CML454	NaN
CML456	NaN
CML474	NaN
CML476	NaN
CML480	NaN
CML481	NaN
CML482	NaN
CML483	NaN
CML484	NaN
CML485	NaN
CML486	NaN
CML487	NaN
CML490	NaN
CML491	NaN
CML492	NaN
CML493	NaN
CML494	NaN
CML495	NaN
CML496	NaN
CML498	NaN
CML5	NaN
CML50	NaN
CML500	NaN
CML503	NaN
CML52	0.783317889
CML61	NaN
CML69	NaN
CML77	0.861868871
CML78	NaN
CML79	NaN
CML91	0.956361344
CML92	0.917485896
CML98	NaN
CMV3	0.78551503
CO106	0.884855323
CO125	0.82551274
CO255	0.786571442
CUB57c-2	NaN
D940Y	0.680595308
DE1	0.620450608
DE811	0.852457752
DE_2	0.619775754
DE_3	0.895860627
E2558W	0.891636735
EA1070	NaN
EA2000	NaN
EA2024	NaN
EA2841	NaN
EA3076	NaN
ECU_770b-2	NaN
EP1	0.981325087
EP10	NaN
EP16	NaN
EP2	NaN
EP2008-03	NaN
EP2008-04	NaN
EP2008-05	NaN
EP28	NaN
EP29	NaN
EP3	NaN
EP31	NaN
EP32	NaN
EP37	NaN
EP39	NaN
EP4	NaN
EP40	NaN
EP42	NaN
EP43	NaN
EP44	NaN
EP45	NaN
EP47	NaN
EP51	NaN
EP52	NaN
EP53	NaN
EP55	NaN
EP56	NaN
EP57	NaN
EP58	NaN
EP60	NaN
EP61	NaN
EP62	NaN
EP64	NaN
EP65	NaN
EP67	NaN
EP69	NaN
EP71	NaN
EP72	NaN
EP73	NaN
EP74	NaN
EP75	NaN
EP76	NaN
EP77	NaN
EP79	NaN
EP80	NaN
EP81	NaN
EP82	NaN
EP83	NaN
EP84	NaN
EP85	NaN
EP86	NaN
EZ1	NaN
EZ10	NaN
EZ11A	NaN
EZ12	NaN
EZ13	NaN
EZ14	NaN
EZ16A	NaN
EZ17	NaN
EZ18	NaN
EZ19	NaN
EZ2	NaN
EZ21	NaN
EZ23	NaN
EZ24	NaN
EZ25	NaN
EZ29	NaN
EZ3	NaN
EZ30	NaN
EZ31	NaN
EZ32	NaN
EZ33	NaN
EZ34	NaN
EZ37	NaN
EZ38	NaN
EZ4	NaN
EZ46	NaN
EZ48	NaN
EZ49	NaN
EZ5	NaN
EZ50	NaN
EZ51	NaN
EZ52	NaN
EZ53	NaN
EZ59	NaN
EZ6	NaN
EZ7	NaN
EZ8	NaN
EZ9	NaN
F2834T	0.889087802
F44	NaN
F6	0.6071055
F7	0.765783256
Fe	NaN
G80	NaN
GA209	0.809844238
GA220	NaN
GA224	NaN
GE180	NaN
GEMN-0070	NaN
GEMN-0071	NaN
GEMN-0076	NaN
GEMN-0077	NaN
GEMN-0081	NaN
GEMN-0082	NaN
GEMN-0083	NaN
GEMN-0087	NaN
GEMN-0089	NaN
GEMN-0090	NaN
GEMN-0094	NaN
GEMN-0095	NaN
GEMN-0096	NaN
GEMN-0099	NaN
GEMN-0103	NaN
GEMN-0104	NaN
GEMN-0105	NaN
GEMN-0106	NaN
GEMN-0107	NaN
GEMN-0108	NaN
GEMN-0109	NaN
GEMN-0119	NaN
GEMN-0120	NaN
GEMN-0121	NaN
GEMN-0122	NaN
GEMN-0123	NaN
GEMN-0124	NaN
GEMN-0127	NaN
GEMN-0128	NaN
GEMN-0129	NaN
GEMN-0130	NaN
GEMN-0131	NaN
GEMN-0132	NaN
GEMN-0133	NaN
GEMN-0134	NaN
GEMN-0135	NaN
GEMN-0136	NaN
GEMN-0151	NaN
GEMN-0152	NaN
GEMN-0153	NaN
GEMN-0164	NaN
GEMN-0165	NaN
GEMN-0166	NaN
GEMN-0167	NaN
GEMN-0168	NaN
GEMN-0169	NaN
GEMN-0170	NaN
GEMN-0172	NaN
GEMN-0173	NaN
GEMN-0186	NaN
GEMN-0187	NaN
GEMN-0190	NaN
GEMN-0191	NaN
GEMN-0192	NaN
GEMN-0193	NaN
GEMN-0205	NaN
GEMN-0207	NaN
GEMN-0208	NaN
GEMN-0209	NaN
GEMN-0210	NaN
GEMN-0211	NaN
GEMN-0212	NaN
GEMN-0213	NaN
GEMN-0214	NaN
GEMN-0216	NaN
GEMN-0217	NaN
GEMN-0221	NaN
GEMS-0068	NaN
GEMS-0069	NaN
GEMS-0072	NaN
GEMS-0073	NaN
GEMS-0074	NaN
GEMS-0075	NaN
GEMS-0078	NaN
GEMS-0079	NaN
GEMS-0080	NaN
GEMS-0084	NaN
GEMS-0085	NaN
GEMS-0086	NaN
GEMS-0101	NaN
GEMS-0102	NaN
GEMS-0125	NaN
GEMS-0185	NaN
GEMS-0188	NaN
GEMS-0189	NaN
GEMS-0199	NaN
GEMS-0200	NaN
GEMS-0201	NaN
GEMS-0202	NaN
GEMS-0203	NaN
GEMS-0206	NaN
GEMS-0215	NaN
GEMS-0219	NaN
GEMS-0220	NaN
GEMS-0222	NaN
GEMS-0223	NaN
GT112	0.852420684
GT154	NaN
GT169A	NaN
GT601	NaN
GT602	NaN
H105W	0.921778172
H49	0.571876903
H84	0.972665848
H91	0.848095657
H95	0.899455894
H99	0.804130761
HP301	0.602703781
Hi27	0.912775092
Hy	0.956245413
I137TN	0.631332123
I205	0.61909671
I29	0.72481618
IA2132	NaN
IDS28	0.73396114
IDS69	0.647576174
IDS91	0.636494662
Ia5125	NaN
Il101	NaN
Il14H	NaN
Il677a	NaN
K148	0.932418555
K4	0.791397924
K55	0.782838208
K64	0.870336447
KY226	0.858914811
KY228	0.626980454
Ki11	NaN
Ki14	0.950424735
Ki2021	NaN
Ki21	0.818918324
Ki3	0.785279175
Ki43	0.940575911
Ki44	0.879762705
Ky21	0.765237761
L317	0.901493614
L578	0.787329436
L690	NaN
LH132	NaN
LH74	NaN
LH82	NaN
M14	0.652400371
M162W	NaN
M37W	0.728209081
MEF156-55-2	0.819382871
MO1W	0.625705076
MP420	NaN
MP462	NaN
MP717	NaN
MR01_(Araguito)_S6	NaN
MR02_(Assiniboine)	NaN
MR06_(Chapalote)_S6	NaN
MR09_(Cravo_Riogranense)_S6	NaN
MR11_(Cuban_Flint)_S6	NaN
MR13_(Hickory_King)	NaN
MR14_(Longfellow_Flint)	NaN
MR15_(Palomero_de_Jalisco)_S6	NaN
MR19_(Santo_Domingo)	NaN
MR20_(Shoe_Peg)	NaN
MR22_(Tuxpeno)_S6	NaN
MR23_(Zapalote_Chico)_S6	NaN
MR25_(Poropo)_S5	NaN
MR26_(Pollo)_S5	NaN
MS1334	0.790434539
MS153	0.666819633
MS71	0.859269515
Mo17	0.90387833
Mo18W	0.813078509
Mo24W	0.932039026
Mo44	0.957074499
Mo45	0.967299896
Mo46	0.775371618
Mo47	0.592149051
MoG	1.00536283
Mp04-97	NaN
Mp07-121	NaN
Mp07-153	NaN
Mp07-158	NaN
Mp339	0.753537518
Mt42	0.838644777
N192	0.889554331
N28Ht	0.954789509
N6	0.70318352
N7A	0.641430289
NC222	1.051224491
NC230	0.726386239
NC232	0.617495658
NC236	0.679929687
NC238	0.780963542
NC250	0.792970335
NC258	0.816997903
NC260	0.915568582
NC262	0.695326118
NC264	0.795515844
NC290A	0.654075379
NC294	0.873112047
NC296	1.100508083
NC296A	1.095241521
NC298	0.726569693
NC300	NaN
NC302	1.011961956
NC304	NaN
NC306	0.837337956
NC310	0.835314211
NC314	0.820076906
NC318	0.781934292
NC320	0.945036576
NC324	0.732831046
NC326	0.778754015
NC328	0.837829368
NC33	0.668006158
NC336	0.965771858
NC338	0.985399545
NC340	NaN
NC342	0.747043592
NC344	0.906437434
NC346	NaN
NC348	0.723414647
NC350	1.04045107
NC352	0.904329807
NC354	0.825868003
NC356	0.96753516
NC358	0.99003285
NC360	0.817844163
NC362	0.644001301
NC364	0.619549874
NC366	0.645265306
NC368	0.846869633
NC44	NaN
NC87	NaN
NC89	NaN
ND246	0.624414795
NSL117226	NaN
NSL15405	NaN
NSL174429	NaN
NSL197104	NaN
NSL197105	NaN
NSL197106	NaN
NSL22628	NaN
NSL22630	NaN
NSL22631	NaN
NSL22632	NaN
NSL22633	NaN
NSL22634	NaN
NSL22635	NaN
NSL22983	NaN
NSL22984	NaN
NSL242483	NaN
NSL243016	NaN
NSL246151	NaN
NSL250298	NaN
NSL250299	NaN
NSL28965	NaN
NSL28967	NaN
NSL28968	NaN
NSL29282	NaN
NSL29284	NaN
NSL29285	NaN
NSL29286	NaN
NSL29287	NaN
NSL29289	NaN
NSL29303	NaN
NSL29304	NaN
NSL29305	NaN
NSL29314	NaN
NSL29316	NaN
NSL29317	NaN
NSL29319	NaN
NSL29898	NaN
NSL30046	NaN
NSL30054	NaN
NSL30055	NaN
NSL30056	NaN
NSL30060	NaN
NSL30063	NaN
NSL30064	NaN
NSL30065	NaN
NSL30066	NaN
NSL30067	NaN
NSL30068	NaN
NSL30070	NaN
NSL30071	NaN
NSL30072	NaN
NSL30073	NaN
NSL30074	NaN
NSL30835	NaN
NSL30861	NaN
NSL30862	NaN
